ID;age;job;housing;saving_accounts;checking_account;credit_amount;duration;purpose
0;67.0;2;own;little;little;1169;6-month;radio/TV
1;22.0;2;own;little;moderate;5951;48-month;radio/TV
2;49.0;1;own;little;little;2096;12-month;education
3;45.0;2;;little;little;7882;42-month;furniture/equipment
4;53.0;2;free;little;little;4870;24-month;car
5;35.0;1;free;little;little;9055;36-month;education
6;53.0;2;own;quite rich;little;2835;24-month;furniture/equipment
7;35.0;3;rent;little;moderate;6948;36-month;car
8;61.0;1;own;rich;little;3059;12-month;radio/TV
9;28.0;3;own;little;moderate;5234;30-month;car
10;;2;rent;little;moderate;1295;12-month;car
11;24.0;2;rent;little;little;4308;48-month;business
12;22.0;2;own;little;moderate;1567;12-month;radio/TV
13;60.0;1;;little;little;1199;24-month;car
14;28.0;2;rent;little;little;1403;15-month;car
15;32.0;1;own;moderate;little;1282;24-month;radio/TV
16;53.0;2;own;little;little;2424;24-month;radio/TV
17;25.0;2;own;little;little;8072;30-month;business
18;;3;free;little;moderate;12579;24-month;car
19;31.0;2;own;quite rich;little;3430;24-month;radio/TV
20;48.0;2;own;little;little;2134;9-month;car
21;44.0;2;rent;quite rich;little;2647;6-month;radio/TV
22;48.0;1;rent;little;little;2241;10-month;car
23;44.0;2;own;moderate;moderate;1804;12-month;car
24;26.0;2;own;little;little;2069;10-month;furniture/equipment
25;36.0;1;own;little;little;1374;6-month;furniture/equipment
26;39.0;1;own;little;little;426;6-month;radio/TV
27;42.0;2;rent;rich;rich;409;12-month;radio/TV
28;34.0;2;own;little;moderate;2415;7-month;radio/TV
29;63.0;2;own;little;little;6836;60-month;business
30;36.0;2;own;rich;moderate;1913;18-month;business
31;;2;own;little;little;4020;24-month;furniture/equipment
32;30.0;2;own;moderate;moderate;5866;18-month;car
33;57.0;1;rent;little;little;1264;12-month;business
34;33.0;3;own;little;rich;1474;12-month;furniture/equipment
35;25.0;1;;little;moderate;4746;45-month;radio/TV
36;31.0;2;free;little;little;6110;48-month;education
37;37.0;2;own;little;rich;2100;18-month;radio/TV
38;37.0;2;;little;rich;1225;10-month;domestic appliances
39;24.0;2;own;little;moderate;458;9-month;radio/TV
40;30.0;3;own;quite rich;little;2333;30-month;radio/TV
41;26.0;2;own;quite rich;moderate;1158;12-month;radio/TV
42;44.0;1;own;little;moderate;6204;18-month;repairs
43;24.0;2;rent;moderate;little;6187;30-month;car
44;58.0;1;free;little;little;6143;48-month;car
45;35.0;3;own;little;little;1393;11-month;car
46;39.0;2;own;quite rich;little;2299;36-month;radio/TV
47;23.0;0;rent;quite rich;little;1352;6-month;car
48;39.0;1;own;little;little;7228;11-month;car
49;28.0;2;own;moderate;little;2073;12-month;radio/TV
50;29.0;1;own;little;moderate;2333;24-month;furniture/equipment
51;30.0;3;own;little;moderate;5965;27-month;car
52;25.0;2;own;little;little;1262;12-month;radio/TV
53;31.0;2;;little;little;3378;18-month;car
54;57.0;2;free;little;moderate;2225;36-month;car
55;26.0;1;own;little;little;783;6-month;car
56;52.0;3;own;little;moderate;6468;12-month;radio/TV
57;31.0;2;own;little;little;9566;36-month;radio/TV
58;23.0;3;own;little;rich;1961;18-month;car
59;23.0;1;rent;little;little;6229;36-month;furniture/equipment
60;27.0;2;own;little;moderate;1391;9-month;business
61;;2;own;little;moderate;1537;15-month;radio/TV
62;61.0;3;free;little;moderate;1953;36-month;business
63;25.0;2;own;little;moderate;14421;48-month;business
64;;2;own;little;little;3181;24-month;radio/TV
65;48.0;2;own;little;little;5190;27-month;repairs
66;;2;;little;little;2171;12-month;radio/TV
67;22.0;2;own;rich;moderate;1007;12-month;car
68;37.0;2;free;little;little;1819;36-month;education
69;;2;own;little;little;2394;36-month;radio/TV
70;30.0;2;own;little;little;8133;36-month;car
71;46.0;1;rent;little;little;730;7-month;radio/TV
72;;3;free;little;little;1164;8-month;vacation/others
73;41.0;1;own;little;moderate;5954;42-month;business
74;40.0;3;own;little;little;1977;36-month;education
75;66.0;3;free;little;little;1526;12-month;car
76;34.0;2;own;little;little;3965;42-month;radio/TV
77;51.0;2;own;little;moderate;4771;11-month;radio/TV
78;39.0;1;own;little;little;9436;54-month;car
79;22.0;2;own;little;moderate;3832;30-month;furniture/equipment
80;44.0;2;own;little;little;5943;24-month;radio/TV
81;47.0;2;own;quite rich;little;1213;15-month;radio/TV
82;24.0;1;rent;moderate;little;1568;18-month;business
83;58.0;1;own;little;little;1755;24-month;vacation/others
84;52.0;1;own;little;little;2315;10-month;radio/TV
85;29.0;3;own;little;little;1412;12-month;business
86;27.0;2;own;little;moderate;1295;18-month;furniture/equipment
87;47.0;2;free;moderate;moderate;12612;36-month;education
88;30.0;3;own;moderate;little;2249;18-month;car
89;28.0;2;;little;little;1108;12-month;repairs
90;56.0;2;own;little;little;618;12-month;radio/TV
91;54.0;2;;little;little;1409;12-month;car
92;33.0;1;own;little;little;797;12-month;radio/TV
93;20.0;2;;little;rich;3617;24-month;furniture/equipment
94;54.0;2;own;rich;moderate;1318;12-month;car
95;58.0;2;rent;little;moderate;15945;54-month;business
